,Lemma_1,Lemma_2,Type,isCognate
0,вода_NOUN,сыр_NOUN,Неоднокоренные (разные корни),0
1,коса_NOUN,зябь_NOUN,Неоднокоренные (разные корни),0
2,любой_ADJ,водитель_NOUN,Неоднокоренные (разные корни),0
3,нож_NOUN,красить_VERB,Неоднокоренные (разные корни),0
4,красивый_ADJ,переносица_NOUN,Неоднокоренные (разные корни),0
5,буря_NOUN,любовник_NOUN,Неоднокоренные (разные корни),0
6,лжец_NOUN,сырок_NOUN,Неоднокоренные (разные корни),0
7,красить_VERB,макать_VERB,Неоднокоренные (разные корни),0
8,краска_NOUN,макнуть_VERB,Неоднокоренные (разные корни),0
9,выкрасить_VERB,макнуть_VERB,Неоднокоренные (разные корни),0
10,покрасить_VERB,промакивать_VERB,Неоднокоренные (разные корни),0
11,красивый_ADJ,медовый_ADJ,Неоднокоренные (разные корни),0
12,красавец_NOUN,мед_NOUN,Неоднокоренные (разные корни),0
13,полнота_NOUN,касаться_VERB,Неоднокоренные (разные корни),0
14,вытирать_VERB,прикосновение_NOUN,Неоднокоренные (разные корни),0
15,любовь_NOUN,соприкосновение_NOUN,Неоднокоренные (разные корни),0
16,любить_VERB,касаться_VERB,Неоднокоренные (разные корни),0
17,любовник_NOUN,речка_NOUN,Неоднокоренные (разные корни),0
18,полюбовно_ADV,речь_NOUN,Неоднокоренные (разные корни),0
19,разлюблять_VERB,изречение_NOUN,Неоднокоренные (разные корни),0
20,бур_NOUN,изрекать_VERB,Неоднокоренные (разные корни),0
21,бурить_VERB,лето_NOUN,Неоднокоренные (разные корни),0
22,терять_VERB,летчик_NOUN,Неоднокоренные (разные корни),0
23,буря_NOUN,летовать_VERB,Неоднокоренные (разные корни),0
24,нос_NOUN,морской_ADJ,Неоднокоренные (разные корни),0
25,носик_NOUN,моряк_NOUN,Неоднокоренные (разные корни),0
26,любовь_NOUN,море_NOUN,Неоднокоренные (разные корни),0
27,носатый_ADJ,морской_ADJ,Неоднокоренные (разные корни),0
28,носить_VERB,приморье_NOUN,Неоднокоренные (разные корни),0
29,отсыревать_VERB,пар_NOUN,Неоднокоренные (разные корни),0
30,выносить_VERB,парилка_NOUN,Неоднокоренные (разные корни),0
31,относить_VERB,попарно_ADV,Неоднокоренные (разные корни),0
32,носильщик_NOUN,парочка_NOUN,Неоднокоренные (разные корни),0
33,гореть_VERB,спаривать_VERB,Неоднокоренные (разные корни),0
34,сгорать_VERB,непарный_ADJ,Неоднокоренные (разные корни),0
35,горевать_VERB,спаривание_NOUN,Неоднокоренные (разные корни),0
36,горевать_VERB,запах_NOUN,Неоднокоренные (разные корни),0
37,горе_NOUN,впахивать_VERB,Неоднокоренные (разные корни),0
38,гореть_VERB,запашок_NOUN,Неоднокоренные (разные корни),0
39,плавание_NOUN,вспахнуть_VERB,Неоднокоренные (разные корни),0
40,мир_NOUN,пахучесть_NOUN,Неоднокоренные (разные корни),0
41,нагар_NOUN,полный_ADJ,Неоднокоренные (разные корни),0
42,примирение_NOUN,заполнять_VERB,Неоднокоренные (разные корни),0
43,горный_ADJ,полнота_NOUN,Неоднокоренные (разные корни),0
44,умирать_VERB,перевыполнять_VERB,Неоднокоренные (разные корни),0
45,дорожный_ADJ,исполнять_VERB,Неоднокоренные (разные корни),0
46,придорожный_ADJ,переполненный_ADJ,Неоднокоренные (разные корни),0
47,дорогой_ADJ,красный_ADJ,Неоднокоренные (разные корни),0
48,вымирать_VERB,покрасить_VERB,Неоднокоренные (разные корни),0
49,ножны_NOUN,покраснение_NOUN,Неоднокоренные (разные корни),0
50,ножка_NOUN,краснеть_VERB,Неоднокоренные (разные корни),0
51,полагать_VERB,краска_NOUN,Неоднокоренные (разные корни),0
52,выкладывать_VERB,краснуха_NOUN,Неоднокоренные (разные корни),0
53,ложь_NOUN,покраснение_NOUN,Неоднокоренные (разные корни),0
54,лгать_VERB,пах_NOUN,Неоднокоренные (разные корни),0
55,тереть_VERB,пахучесть_NOUN,Неоднокоренные (разные корни),0
56,истертый_ADJ,пахота_NOUN,Неоднокоренные (разные корни),0
57,умирать_VERB,плавать_VERB,Неоднокоренные (разные корни),0
58,дорогой_ADJ,плавание_NOUN,Неоднокоренные (разные корни),0
59,умирающий_NOUN,пловец_NOUN,Неоднокоренные (разные корни),0
60,помирать_VERB,переплавлять_VERB,Неоднокоренные (разные корни),0
61,вымирать_VERB,плавление_NOUN,Неоднокоренные (разные корни),0
62,дорогой_ADJ,выплавка_NOUN,Неоднокоренные (разные корни),0
63,дорога_NOUN,бурить_VERB,Неоднокоренные (разные корни),0
64,подорожать_VERB,бурный_ADJ,Неоднокоренные (разные корни),0
65,потеря_NOUN,переносица_NOUN,Неоднокоренные (разные корни),0
66,терять_VERB,носатый_ADJ,Неоднокоренные (разные корни),0
67,нога_NOUN,носик_NOUN,Неоднокоренные (разные корни),0
68,безногий_ADJ,переносица_NOUN,Неоднокоренные (разные корни),0
69,ложь_NOUN,носильщик_NOUN,Неоднокоренные (разные корни),0
70,ложь_NOUN,переносок_NOUN,Неоднокоренные (разные корни),0
71,лжец_NOUN,носильщик_NOUN,Неоднокоренные (разные корни),0
72,вскакивать_VERB,переносной_ADJ,Неоднокоренные (разные корни),0
73,выскакать_VERB,переносной_ADJ,Неоднокоренные (разные корни),0
74,перескакивать_VERB,гореть_VERB,Неоднокоренные (разные корни),0
75,подскакивать_VERB,гореть_VERB,Неоднокоренные (разные корни),0
76,отскакивать_VERB,горе_NOUN,Неоднокоренные (разные корни),0
77,ускакивать_VERB,горевать_VERB,Неоднокоренные (разные корни),0
78,проскакивать_VERB,горевать_VERB,Неоднокоренные (разные корни),0
79,прискакивать_VERB,горный_ADJ,Неоднокоренные (разные корни),0
80,обскакивать_VERB,пригорок_NOUN,Неоднокоренные (разные корни),0
81,приклонять_VERB,мирный_ADJ,Неоднокоренные (разные корни),0
82,склонение_NOUN,мировой_ADJ,Неоднокоренные (разные корни),0
83,поклон_NOUN,мир_NOUN,Неоднокоренные (разные корни),0
84,клонить_VERB,умирающий_NOUN,Неоднокоренные (разные корни),0
85,распахиваться_VERB,умерший_NOUN,Неоднокоренные (разные корни),0
86,распахивать_VERB,подорожник_NOUN,Неоднокоренные (разные корни),0
87,бегать_VERB,подорожник_NOUN,Неоднокоренные (разные корни),0
88,разбегаться_VERB,дорого_ADV,Неоднокоренные (разные корни),0
89,бежать_VERB,ножевой_ADJ,Неоднокоренные (разные корни),0
90,перебегать_VERB,ножны_NOUN,Неоднокоренные (разные корни),0
91,разбегаться_VERB,ножевой_ADJ,Неоднокоренные (разные корни),0
92,перебегать_VERB,ножной_ADJ,Неоднокоренные (разные корни),0
93,бежать_VERB,откладывать_VERB,Неоднокоренные (разные корни),0
94,гореть_VERB,откладывать_VERB,Неоднокоренные (разные корни),0
95,горелый_ADJ,ложный_ADJ,Неоднокоренные (разные корни),0
96,загорать_VERB,лгун_NOUN,Неоднокоренные (разные корни),0
97,огарок_NOUN,потертый_ADJ,Неоднокоренные (разные корни),0
98,разгар_NOUN,вытирать_VERB,Неоднокоренные (разные корни),0
99,угар_NOUN,дорогой_ADJ,Неоднокоренные (разные корни),0
100,выгорание_NOUN,ножка_NOUN,Неоднокоренные (разные корни),0
101,выгорание_NOUN,нога_NOUN,Неоднокоренные (разные корни),0
102,горелый_ADJ,ножной_ADJ,Неоднокоренные (разные корни),0
103,разгар_NOUN,нога_NOUN,Неоднокоренные (разные корни),0
104,гореть_VERB,ножной_ADJ,Неоднокоренные (разные корни),0
105,полагать_VERB,ножка_NOUN,Неоднокоренные (разные корни),0
106,предлагать_VERB,зорька_NOUN,Неоднокоренные (разные корни),0
107,предположение_NOUN,зоревый_ADJ,Неоднокоренные (разные корни),0
108,излагать_VERB,зорька_NOUN,Неоднокоренные (разные корни),0
109,возлагать_VERB,зачет_NOUN,Неоднокоренные (разные корни),0
110,располагаться_VERB,вычет_NOUN,Неоднокоренные (разные корни),0
111,прилагать_VERB,зачитывать_VERB,Неоднокоренные (разные корни),0
112,выкрасить_VERB,вычитать_VERB,Неоднокоренные (разные корни),0
113,краска_NOUN,подсчет_NOUN,Неоднокоренные (разные корни),0
114,красить_VERB,вычет_NOUN,Неоднокоренные (разные корни),0
115,вытирать_VERB,зачет_NOUN,Неоднокоренные (разные корни),0
116,растирать_VERB,зачитывать_VERB,Неоднокоренные (разные корни),0
117,стереть_VERB,вычитать_VERB,Неоднокоренные (разные корни),0
118,отлет_NOUN,подсчет_NOUN,Неоднокоренные (разные корни),0
119,лето_NOUN,пир_NOUN,Неоднокоренные (разные корни),0
120,сдирать_VERB,розжиг_NOUN,Неоднокоренные (разные корни),0
121,раздирать_VERB,сжигать_VERB,Неоднокоренные (разные корни),0
122,выдирать_VERB,зажигалка_NOUN,Неоднокоренные (разные корни),0
123,вздирать_VERB,сжигать_VERB,Неоднокоренные (разные корни),0
124,блистать_VERB,заря_NOUN,Неоднокоренные (разные корни),0
125,блестка_NOUN,зоревать_VERB,Неоднокоренные (разные корни),0
126,подрастать_VERB,зоревый_ADJ,Неоднокоренные (разные корни),0
127,собирать_VERB,зоренька_NOUN,Неоднокоренные (разные корни),0
128,выбирать_VERB,зорька_NOUN,Неоднокоренные (разные корни),0
129,убирать_VERB,коса_NOUN,Неоднокоренные (разные корни),0
130,макнуть_VERB,касание_NOUN,Неоднокоренные (разные корни),0
131,макнуть_VERB,прикосновение_NOUN,Неоднокоренные (разные корни),0
132,маковый_ADJ,касаться_VERB,Неоднокоренные (разные корни),0
133,медный_ADJ,касаться_VERB,Неоднокоренные (разные корни),0
134,медовый_ADJ,соприкосновение_NOUN,Неоднокоренные (разные корни),0
135,косить_VERB,растение_NOUN,Неоднокоренные (разные корни),0
136,прикосновение_NOUN,расти_VERB,Неоднокоренные (разные корни),0
137,краснеть_VERB,заросль_NOUN,Неоднокоренные (разные корни),0
138,покраснение_NOUN,вырастать_VERB,Неоднокоренные (разные корни),0
139,красненький_ADJ,сплав_NOUN,Неоднокоренные (разные корни),0
140,вода_NOUN,водить_VERB,Неоднокоренные (омонимы),0
141,водный_ADJ,водитель_NOUN,Неоднокоренные (омонимы),0
142,приводняться_VERB,водительский_ADJ,Неоднокоренные (омонимы),0
143,подводный_ADJ,водить_VERB,Неоднокоренные (омонимы),0
144,водяной_ADJ,водительский_ADJ,Неоднокоренные (омонимы),0
145,вода_NOUN,водитель_NOUN,Неоднокоренные (омонимы),0
146,сыр_NOUN,сырость_NOUN,Неоднокоренные (омонимы),0
147,сырный_ADJ,сырой_ADJ,Неоднокоренные (омонимы),0
148,сырок_NOUN,отсыревать_VERB,Неоднокоренные (омонимы),0
149,сыр_NOUN,сырой_ADJ,Неоднокоренные (омонимы),0
150,сырный_ADJ,отсыревать_VERB,Неоднокоренные (омонимы),0
151,сырок_NOUN,сырость_NOUN,Неоднокоренные (омонимы),0
152,зябь_NOUN,озябнуть_VERB,Неоднокоренные (омонимы),0
153,зябь_NOUN,зябко_ADV,Неоднокоренные (омонимы),0
154,зябь_NOUN,озябнуть_VERB,Неоднокоренные (омонимы),0
155,красить_VERB,красивый_ADJ,Неоднокоренные (омонимы),0
156,краска_NOUN,красота_NOUN,Неоднокоренные (омонимы),0
157,окрашивать_VERB,красавица_NOUN,Неоднокоренные (омонимы),0
158,покрасить_VERB,красавец_NOUN,Неоднокоренные (омонимы),0
159,покрасить_VERB,красивый_ADJ,Неоднокоренные (омонимы),0
160,закрашивать_VERB,красота_NOUN,Неоднокоренные (омонимы),0
161,любой_ADJ,любовь_NOUN,Неоднокоренные (омонимы),0
162,сырный_ADJ,сырость_NOUN,Неоднокоренные (омонимы),0
163,любой_ADJ,любить_VERB,Неоднокоренные (омонимы),0
164,море_NOUN,мор_NOUN,Неоднокоренные (омонимы),0
165,любой_ADJ,полюбовно_ADV,Неоднокоренные (омонимы),0
166,морской_ADJ,измор_NOUN,Неоднокоренные (омонимы),0
167,бурить_VERB,буря_NOUN,Неоднокоренные (омонимы),0
168,буровой_ADJ,бурный_ADJ,Неоднокоренные (омонимы),0
169,бур_NOUN,бурый_ADJ,Неоднокоренные (омонимы),0
170,бурить_VERB,буря_NOUN,Неоднокоренные (омонимы),0
171,бурый_ADJ,бурить_VERB,Неоднокоренные (омонимы),0
172,бурый_ADJ,буровой_ADJ,Неоднокоренные (омонимы),0
173,нос_NOUN,носить_VERB,Неоднокоренные (омонимы),0
174,переносица_NOUN,выносить_VERB,Неоднокоренные (омонимы),0
175,носик_NOUN,занашивать_VERB,Неоднокоренные (омонимы),0
176,носатый_ADJ,носильщик_NOUN,Неоднокоренные (омонимы),0
177,нос_NOUN,носильщик_NOUN,Неоднокоренные (омонимы),0
178,носатый_ADJ,относить_VERB,Неоднокоренные (омонимы),0
179,гореть_VERB,горе_NOUN,Неоднокоренные (омонимы),0
180,гореть_VERB,гора_NOUN,Неоднокоренные (омонимы),0
181,гореть_VERB,горевать_VERB,Неоднокоренные (омонимы),0
182,сгорать_VERB,гора_NOUN,Неоднокоренные (омонимы),0
183,горе_NOUN,горный_ADJ,Неоднокоренные (омонимы),0
184,гористый_ADJ,сгорать_VERB,Неоднокоренные (омонимы),0
185,пригорок_NOUN,горе_NOUN,Неоднокоренные (омонимы),0
186,пригорок_NOUN,гореть_VERB,Неоднокоренные (омонимы),0
187,мир_NOUN,умирать_VERB,Неоднокоренные (омонимы),0
188,мирный_ADJ,умирающий_NOUN,Неоднокоренные (омонимы),0
189,мировой_ADJ,умирать_VERB,Неоднокоренные (омонимы),0
190,примирение_NOUN,умирающий_NOUN,Неоднокоренные (омонимы),0
191,мир_NOUN,умирающий_NOUN,Неоднокоренные (омонимы),0
192,мирный_ADJ,умирать_VERB,Неоднокоренные (омонимы),0
193,замирать_VERB,умерший_NOUN,Неоднокоренные (омонимы),0
194,замирать_VERB,мириться_VERB,Неоднокоренные (омонимы),0
195,дорога_NOUN,дорогой_ADJ,Неоднокоренные (омонимы),0
196,дорожный_ADJ,дорого_ADV,Неоднокоренные (омонимы),0
197,подорожник_NOUN,дорожать_VERB,Неоднокоренные (омонимы),0
198,придорожный_ADJ,дорогой_ADJ,Неоднокоренные (омонимы),0
199,нож_NOUN,ножка_NOUN,Неоднокоренные (омонимы),0
200,ножны_NOUN,нога_NOUN,Неоднокоренные (омонимы),0
201,ножевой_ADJ,ножной_ADJ,Неоднокоренные (омонимы),0
202,нож_NOUN,нога_NOUN,Неоднокоренные (омонимы),0
203,ножны_NOUN,ножной_ADJ,Неоднокоренные (омонимы),0
204,ножевой_ADJ,ножка_NOUN,Неоднокоренные (омонимы),0
205,полагать_VERB,ложный_ADJ,Неоднокоренные (омонимы),0
206,откладывать_VERB,ложь_NOUN,Неоднокоренные (омонимы),0
207,выкладывать_VERB,лжец_NOUN,Неоднокоренные (омонимы),0
208,полагать_VERB,лгать_VERB,Неоднокоренные (омонимы),0
209,откладывать_VERB,ложный_ADJ,Неоднокоренные (омонимы),0
210,положенный_ADJ,ложь_NOUN,Неоднокоренные (омонимы),0
211,тереть_VERB,терять_VERB,Неоднокоренные (омонимы),0
212,потертый_ADJ,потеря_NOUN,Неоднокоренные (омонимы),0
213,затирать_VERB,утерять_VERB,Неоднокоренные (омонимы),0
214,потирать_VERB,потерять_VERB,Неоднокоренные (омонимы),0
215,вытирать_VERB,затериваться_VERB,Неоднокоренные (омонимы),0
216,истертый_ADJ,потерять_VERB,Неоднокоренные (омонимы),0
217,запирать_VERB,пировать_VERB,Неоднокоренные (омонимы),0
218,отпирать_VERB,пир_NOUN,Неоднокоренные (омонимы),0
219,запирать_VERB,пиршество_NOUN,Неоднокоренные (омонимы),0
220,отпирать_VERB,пировать_VERB,Неоднокоренные (омонимы),0
221,застилать_VERB,стиль_NOUN,Неоднокоренные (омонимы),0
222,застилать_VERB,стильный_ADJ,Неоднокоренные (омонимы),0
223,стелить_VERB,стилизация_NOUN,Неоднокоренные (омонимы),0
224,макать_VERB,мак_NOUN,Неоднокоренные (омонимы),0
225,макнуть_VERB,маковый_ADJ,Неоднокоренные (омонимы),0
226,макнуть_VERB,мак_NOUN,Неоднокоренные (омонимы),0
227,промакивать_VERB,маковый_ADJ,Неоднокоренные (омонимы),0
228,медовый_ADJ,медный_ADJ,Неоднокоренные (омонимы),0
229,мед_NOUN,медь_NOUN,Неоднокоренные (омонимы),0
230,касаться_VERB,косить_VERB,Неоднокоренные (омонимы),0
231,прикосновение_NOUN,коса_NOUN,Неоднокоренные (омонимы),0
232,соприкосновение_NOUN,покос_NOUN,Неоднокоренные (омонимы),0
233,касаться_VERB,скашивать_VERB,Неоднокоренные (омонимы),0
234,речка_NOUN,речевой_ADJ,Неоднокоренные (омонимы),0
235,речь_NOUN,речной_ADJ,Неоднокоренные (омонимы),0
236,изречение_NOUN,речушка_NOUN,Неоднокоренные (омонимы),0
237,изрекать_VERB,речка_NOUN,Неоднокоренные (омонимы),0
238,лето_NOUN,лететь_VERB,Неоднокоренные (омонимы),0
239,летчик_NOUN,летний_ADJ,Неоднокоренные (омонимы),0
240,летовать_VERB,летать_VERB,Неоднокоренные (омонимы),0
241,морской_ADJ,мор_NOUN,Неоднокоренные (омонимы),0
242,моряк_NOUN,вымаривать_VERB,Неоднокоренные (омонимы),0
243,море_NOUN,измор_NOUN,Неоднокоренные (омонимы),0
244,морской_ADJ,вымаривать_VERB,Неоднокоренные (омонимы),0
245,приморье_NOUN,вымаривать_VERB,Неоднокоренные (омонимы),0
246,пар_NOUN,пара_NOUN,Неоднокоренные (омонимы),0
247,парилка_NOUN,парный_ADJ,Неоднокоренные (омонимы),0
248,попарно_ADV,выпаривать_VERB,Неоднокоренные (омонимы),0
249,парочка_NOUN,испарительный_ADJ,Неоднокоренные (омонимы),0
250,спаривать_VERB,парник_NOUN,Неоднокоренные (омонимы),0
251,непарный_ADJ,парить_VERB,Неоднокоренные (омонимы),0
252,спаривание_NOUN,отпаривать_VERB,Неоднокоренные (омонимы),0
253,запах_NOUN,пропахать_VERB,Неоднокоренные (омонимы),0
254,впахивать_VERB,пахнуть_VERB,Неоднокоренные (омонимы),0
255,запашок_NOUN,перепахивать_VERB,Неоднокоренные (омонимы),0
256,вспахнуть_VERB,распахнуть_VERB,Неоднокоренные (омонимы),0
257,пахучесть_NOUN,запахнуть_VERB,Неоднокоренные (омонимы),0
258,полный_ADJ,выполнять_VERB,Неоднокоренные (омонимы),0
259,заполнять_VERB,исполнять_VERB,Неоднокоренные (омонимы),0
260,полнота_NOUN,невыполнимый_ADJ,Неоднокоренные (омонимы),0
261,перевыполнять_VERB,переполненный_ADJ,Неоднокоренные (омонимы),0
262,исполнять_VERB,полный_ADJ,Неоднокоренные (омонимы),0
263,переполненный_ADJ,исполнять_VERB,Неоднокоренные (омонимы),0
264,красный_ADJ,красивый_ADJ,Неоднокоренные (омонимы),0
265,покрасить_VERB,краснота_NOUN,Неоднокоренные (омонимы),0
266,покраснение_NOUN,краска_NOUN,Неоднокоренные (омонимы),0
267,краснеть_VERB,красавец_NOUN,Неоднокоренные (омонимы),0
268,краска_NOUN,красный_ADJ,Неоднокоренные (омонимы),0
269,краснуха_NOUN,красавица_NOUN,Неоднокоренные (омонимы),0
270,покраснение_NOUN,краситель_NOUN,Неоднокоренные (омонимы),0
271,пах_NOUN,запах_NOUN,Неоднокоренные (омонимы),0
272,пахучесть_NOUN,паховой_ADJ,Неоднокоренные (омонимы),0
273,пахота_NOUN,паховой_ADJ,Неоднокоренные (омонимы),0
274,плавать_VERB,плавить_VERB,Неоднокоренные (омонимы),0
275,плавание_NOUN,сплав_NOUN,Неоднокоренные (омонимы),0
276,пловец_NOUN,плов_NOUN,Неоднокоренные (омонимы),0
277,переплавлять_VERB,плавать_VERB,Неоднокоренные (омонимы),0
278,плавление_NOUN,плавание_NOUN,Неоднокоренные (омонимы),0
279,выплавка_NOUN,плавать_VERB,Неоднокоренные (омонимы),0
280,вода_NOUN,водный_ADJ,Однокоренные (совпадение),1
281,вода_NOUN,водяной_ADJ,Однокоренные (совпадение),1
282,водный_ADJ,приводняться_VERB,Однокоренные (совпадение),1
283,водить_VERB,водитель_NOUN,Однокоренные (совпадение),1
284,водить_VERB,водительский_ADJ,Однокоренные (совпадение),1
285,водитель_NOUN,водить_VERB,Однокоренные (совпадение),1
286,сыр_NOUN,сырный_ADJ,Однокоренные (совпадение),1
287,сыр_NOUN,сырок_NOUN,Однокоренные (совпадение),1
288,сырок_NOUN,сырный_ADJ,Однокоренные (совпадение),1
289,сырой_ADJ,отсыревать_VERB,Однокоренные (совпадение),1
290,сырость_NOUN,сырой_ADJ,Однокоренные (совпадение),1
291,отсыревать_VERB,отсыревать_VERB,Однокоренные (совпадение),1
292,озябнуть_VERB,зябко_ADV,Однокоренные (совпадение),1
293,зябко_ADV,озябнуть_VERB,Однокоренные (совпадение),1
294,красить_VERB,краска_NOUN,Однокоренные (совпадение),1
295,краска_NOUN,покрасить_VERB,Однокоренные (совпадение),1
296,выкрасить_VERB,окрашивание_NOUN,Однокоренные (совпадение),1
297,покрасить_VERB,закрашивать_VERB,Однокоренные (совпадение),1
298,красивый_ADJ,красавица_NOUN,Однокоренные (совпадение),1
299,красавец_NOUN,красота_NOUN,Однокоренные (совпадение),1
300,красивый_ADJ,красотка_NOUN,Однокоренные (совпадение),1
301,любимый_ADJ,влюбляться_VERB,Однокоренные (совпадение),1
302,любовь_NOUN,любовник_NOUN,Однокоренные (совпадение),1
303,любить_VERB,любить_VERB,Однокоренные (совпадение),1
304,любовник_NOUN,любить_VERB,Однокоренные (совпадение),1
305,полюбовно_ADV,любовь_NOUN,Однокоренные (совпадение),1
306,разлюблять_VERB,любовник_NOUN,Однокоренные (совпадение),1
307,бур_NOUN,буровой_ADJ,Однокоренные (совпадение),1
308,бурить_VERB,буровой_ADJ,Однокоренные (совпадение),1
309,бур_NOUN,бурить_VERB,Однокоренные (совпадение),1
310,буря_NOUN,бурный_ADJ,Однокоренные (совпадение),1
311,нос_NOUN,переносица_NOUN,Однокоренные (совпадение),1
312,носик_NOUN,носатый_ADJ,Однокоренные (совпадение),1
313,нос_NOUN,носик_NOUN,Однокоренные (совпадение),1
314,носатый_ADJ,переносица_NOUN,Однокоренные (совпадение),1
315,носить_VERB,носильщик_NOUN,Однокоренные (совпадение),1
316,носить_VERB,переносок_NOUN,Однокоренные (совпадение),1
317,выносить_VERB,носильщик_NOUN,Однокоренные (совпадение),1
318,относить_VERB,переносной_ADJ,Однокоренные (совпадение),1
319,носильщик_NOUN,переносной_ADJ,Однокоренные (совпадение),1
320,гореть_VERB,гореть_VERB,Однокоренные (совпадение),1
321,сгорать_VERB,гореть_VERB,Однокоренные (совпадение),1
322,горевать_VERB,горе_NOUN,Однокоренные (совпадение),1
323,горевать_VERB,горевать_VERB,Однокоренные (совпадение),1
324,горе_NOUN,горевать_VERB,Однокоренные (совпадение),1
325,гора_NOUN,горный_ADJ,Однокоренные (совпадение),1
326,гора_NOUN,пригорок_NOUN,Однокоренные (совпадение),1
327,мир_NOUN,мирный_ADJ,Однокоренные (совпадение),1
328,мир_NOUN,мировой_ADJ,Однокоренные (совпадение),1
329,примирение_NOUN,мир_NOUN,Однокоренные (совпадение),1
330,умирать_VERB,умирающий_NOUN,Однокоренные (совпадение),1
331,умирать_VERB,умерший_NOUN,Однокоренные (совпадение),1
332,дорожный_ADJ,подорожник_NOUN,Однокоренные (совпадение),1
